,Health Facility Name,Address,Landmark,Locality,Pincode,latitude,longitude,Facility Type,State_Name,\N,Taluka_Name,Block_Name
428,Mandrulkole,\N,,Madrul Kole,415112.0,17.245294,73.958282,SubCentre,Maharashtra,Satara,Patan,Patan
429,Jawali,282,,Jawali,415523.0,17.879594,74.589186,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
430,Majare Pilani,sub center majrepilani,,village-majare pilani,415002.0,17.5775,73.9381,SubCentre,Maharashtra,Satara,Satara,Satara
431,Talmawale,phctalmavle,near college,Talmavle,415103.0,17.234843,73.995983,Primary Health Centre,Maharashtra,Satara,Patan,Patan
432,Diwashi Bk.,\N,,Diwashi Bk.,415211.0,17.294955,73.985886,SubCentre,Maharashtra,Satara,Patan,Patan
433,Savade,,,Savade,415111.0,17.1746,74.0692,SubCentre,Maharashtra,Satara,Karad,Karad
434,Chimangaon,,,Chimangaon,415501.0,17.73206,74.224877,SubCentre,Maharashtra,Satara,Koregaon,Koregaon
435,Bambavade,\N,,Bambavade,415014.0,17.51127,73.920081,SubCentre,Maharashtra,Satara,Patan,Patan
436,Palashi,,,Palashi,415540.0,17.6693,74.6799,Primary Health Centre,Maharashtra,Satara,Man,Man
437,Tapola,9,Near Shivsagar jalashay,Tapola Subcenter,,17.7656,73.7422,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
438,Kumbharoshi 1,91,Pratapgad Road,subcenter Kumbharoshi 1,412806.0,17.9421,73.6466,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
439,Perale,,,Perale,415109.0,17.4534,74.1144,SubCentre,Maharashtra,Satara,Karad,Karad
440,Morgiri,,,Morgiri,415210.0,17.323894,73.859119,SubCentre,Maharashtra,Satara,Patan,Patan
441,Shinganapur,,,Shinganapur,415508.0,17.8427,74.6678,SubCentre,Maharashtra,Satara,Man,Man
442,Mhasurne,,,Mhasurne,415538.0,17.421766,74.441525,SubCentre,Maharashtra,Satara,Khatav,Khatav
443,Tasgaon,,,Tasgaon,415004.0,17.6368,74.058,SubCentre,Maharashtra,Satara,Satara,Satara
444,Andori,,,Andori,415526.0,18.08714,74.141955,SubCentre,Maharashtra,Satara,Khandala,Khandala
445,Bijawadi,,,Bijawadi,415508.0,18.1486,74.9627,SubCentre,Maharashtra,Satara,Man,Man
446,Bhogaon,185,,Bhogaon,412803.0,17.974387,73.84852,SubCentre,Maharashtra,Satara,Wai,Wai
447,Tambave,,,Tambave,415114.0,17.3081,74.0841,SubCentre,Maharashtra,Satara,Karad,Karad
448,Aahire,,,Aahire,412802.0,18.059201,74.071443,SubCentre,Maharashtra,Satara,Khandala,Khandala
449,Pedgaon,,,Pedgaon,415503.0,17.647676,74.451648,SubCentre,Maharashtra,Satara,Khatav,Khatav
450,Taradgaon,479,,Taradgaon,415028.0,18.028738,74.249906,Primary Health Centre,Maharashtra,Satara,Phaltan,Phaltan
451,Kharoshi,8,Near Tapola,Subcenter Kharoshi,412806.0,17.7911,73.6795,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
452,Palashi,,,Palashi,415540.0,17.6694,74.6763,SubCentre,Maharashtra,Satara,Man,Man
453,Nigadi,,,Nigadi,415106.0,17.4421,74.1873,SubCentre,Maharashtra,Satara,Karad,Karad
454,Vankusavadewadi,\N,,Vankusavadewadi,415206.0,17.505069,73.810124,SubCentre,Maharashtra,Satara,Patan,Patan
455,Kole,,,Kole,415103.0,17.2572,74.0732,Primary Health Centre,Maharashtra,Satara,Karad,Karad
456,Pingali bk,,,Pingali BK,415508.0,17.6758,74.5125,SubCentre,Maharashtra,Satara,Man,Man
457,Pimpari,,,Pimpari,415511.0,17.553704,74.22297,SubCentre,Maharashtra,Satara,Koregaon,Koregaon
458,Aandhali,,,Aandhali,415508.0,17.7549,74.4734,SubCentre,Maharashtra,Satara,Man,Man
459,Shirgaon,45,,Shirgoan,412803.0,17.901934,74.007436,SubCentre,Maharashtra,Satara,Wai,Wai
460,Kalgoan,\N,,Kalgoan,415112.0,17.168315,73.959552,SubCentre,Maharashtra,Satara,Patan,Patan
461,Wechale,sub center wechale,,village-wechale,415002.0,17.6166,74.0045,SubCentre,Maharashtra,Satara,Satara,Satara
462,Paparde,,,Paparde,415211.0,17.318237,73.988288,SubCentre,Maharashtra,Satara,Patan,Patan
463,Lodhawade,,,Lodhawade,415540.0,17.6422,74.6294,SubCentre,Maharashtra,Satara,Man,Man
464,District Hospital Satara,,,Satara,415002.0,17.6912,74.0092,District Hospital,Maharashtra,Satara,Satara,Satara
465,Kival,,,Kival,415106.0,17.4163,74.2162,SubCentre,Maharashtra,Satara,Karad,Karad
466,Khingar,89,Bharti Vidyapeeth,Subcenter Khingar,412806.0,17.9103,73.8359,SubCentre,Maharashtra,Satara,Mahabaleshwar,Mahabaleshwar
467,Tetali,35,Near by Zp School,Tetali,415002.0,17.7486,73.7683,SubCentre,Maharashtra,Satara,Jaoli,Jaoli
468,Surli,,,Surli,415105.0,17.3272,74.2703,SubCentre,Maharashtra,Satara,Karad,Karad
469,Charegaon,,,Charegaon,415109.0,17.371,74.0701,SubCentre,Maharashtra,Satara,Karad,Karad
470,Katarkhatav,,,Katarkhatav,415507.0,17.568661,74.520955,Primary Health Centre,Maharashtra,Satara,Khatav,Khatav
471,Rural Hospital Dhebewadi,,,At Post Dhebewadi,415112.0,17.2384,73.9591,Community Health Center,Maharashtra,Satara,Patan,Patan
472,Nimbhore,56,,Nimbhore,415522.0,18.009722,74.356506,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
473,Salshirambe,\N,,Salshirambe,415111.0,17.1485,74.97,SubCentre,Maharashtra,Satara,Karad,Karad
474,Kelghar,173,Near by ST Stand,Kelghar,415017.0,17.8533,73.7665,Primary Health Centre,Maharashtra,Satara,Jaoli,Jaoli
475,Karve 1,,,Karve 1,415124.0,17.2507,74.2089,SubCentre,Maharashtra,Satara,Karad,Karad
476,Shivathar,sub center shivathar,,village-shivathar,415011.0,17.78,74.0613,SubCentre,Maharashtra,Satara,Satara,Satara
477,Thoseghar,sub center thoseghar,,village-Thoseghar,415013.0,17.6033,73.8505,SubCentre,Maharashtra,Satara,Satara,Satara
478,Palashi,,,Palashi,415011.0,17.821195,74.111347,SubCentre,Maharashtra,Satara,Koregaon,Koregaon
479,Songaon,132,Near By ZP School,Songaon,415020.0,17.8048,73.8912,SubCentre,Maharashtra,Satara,Jaoli,Jaoli
480,Vyajwadi,387,,Vyajwadi,412803.0,17.873194,73.899728,SubCentre,Maharashtra,Satara,Wai,Wai
481,Vikhale,,,Vikhale,415524.0,17.87288,74.18834,SubCentre,Maharashtra,Satara,Koregaon,Koregaon
482,Aangaapur Vandan,sub center angapur vandan,,village-angapur vandan,415019.0,17.5773,74.1338,SubCentre,Maharashtra,Satara,Satara,Satara
483,Wawarhire,\N,,wawarhire,415508.0,17.7831,74.6045,SubCentre,Maharashtra,Satara,Man,Man
484,Koparde,sub center koparde,,village-koparde,415518.0,17.4895,74.1044,SubCentre,Maharashtra,Satara,Satara,Satara
485,Kanher,sub center kanher,near kanher dam,village-kanher,415022.0,17.7325,73.9276,SubCentre,Maharashtra,Satara,Satara,Satara
486,Belawade,\N,,Belawade,415205.0,17.329354,73.929246,SubCentre,Maharashtra,Satara,Patan,Patan
487,Varne,sub center varne,,village-varne,415019.0,17.5886,74.1091,SubCentre,Maharashtra,Satara,Satara,Satara
488,Yerad,,,Yerad,415206.0,17.350659,73.859233,SubCentre,Maharashtra,Satara,Patan,Patan
489,Sasurve,,,Sasurve,415511.0,17.621344,74.180382,SubCentre,Maharashtra,Satara,Koregaon,Koregaon
490,Aarvi,,,Aarvi,415116.0,17.511304,74.223657,SubCentre,Maharashtra,Satara,Koregaon,Koregaon
491,Limb,phc limb,,village-limb,415515.0,17.79,74.0132,Primary Health Centre,Maharashtra,Satara,Satara,Satara
492,Pawarwadi,38,,Pawarwadi,415523.0,18.022687,74.648326,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
493,Wathar Station,165,,wathar station,415524.0,17.8807,74.1385,Primary Health Centre,Maharashtra,Satara,Koregaon,Koregaon
494,Naravane,,,Naravane,415540.0,17.6041,74.6184,SubCentre,Maharashtra,Satara,Man,Man
